id,district,state,country
,Balangir,19,1
,Nuapada  *,19,1
,Kalahandi,19,1
,Rayagada  *,19,1
,Nabarangapur  *,19,1
,Koraput,19,1
,Malkangiri  *,19,1
,Koriya *,20,1
,Surguja,20,1
,Jashpur *,20,1
,Raigarh,20,1
,Korba *,20,1
,Janjgir - Champa*,20,1
,Bilaspur,20,1
,Kawardha *,20,1
,Rajnandgaon,20,1
,Durg,20,1
,Raipur,20,1
,Mahasamund *,20,1
,Dhamtari *,20,1
,Kanker *,20,1
,Baster,20,1
,Dantewada*,20,1
,Sheopur *,21,1
,Morena,21,1
,Bhind,21,1
,Gwalior,21,1
,Datia,21,1
,Shivpuri,21,1
,Guna,21,1
,Tikamgarh,21,1
,Chhatarpur,21,1
,Panna,21,1
,Sagar,21,1
,Damoh,21,1
,Satna,21,1
,Rewa,21,1
,Umaria *,21,1
,Shahdol,21,1
,Sidhi,21,1
,Neemuch *,21,1
,Mandsaur,21,1
,Ratlam,21,1
,Ujjain,21,1
,Shajapur,21,1
,Dewas,21,1
,Jhabua,21,1
,Dhar,21,1
,Indore,21,1
,West Nimar,21,1
,Barwani *,21,1
,East Nimar,21,1
,Rajgarh,21,1
,Vidisha,21,1
,Bhopal,21,1
,Sehore,21,1
,Raisen,21,1
,Betul,21,1
,Harda *,21,1
,Hoshangabad,21,1
,Katni *,21,1
,Jabalpur,21,1
,Narsimhapur,21,1
,Dindori *,21,1
,Mandla,21,1
,Chhindwara,21,1
,Seoni,21,1
,Balaghat,21,1
,Kachchh,22,1
,Banas Kantha,22,1
,Patan  *,22,1
,Mahesana,22,1
,Sabar Kantha,22,1
,Gandhinagar,22,1
,Ahmadabad,22,1
,Surendranagar,22,1
,Rajkot,22,1
,Jamnagar,22,1
,Porbandar  *,22,1
,Junagadh,22,1
,Amreli,22,1
,Bhavnagar,22,1
,Anand  *,22,1
,Kheda,22,1
,Panch Mahals,22,1
,Dohad  *,22,1
,Vadodara,22,1
,Narmada  *,22,1
,Bharuch,22,1
,Surat,22,1
,The Dangs,22,1
,Navsari  *,22,1
,Valsad,22,1
,Diu,23,1
,Daman,23,1
,Dadra & Nagar Haveli,24,1
,Nandurbar *,25,1
,Dhule,25,1
,Jalgaon,25,1
,Buldana,25,1
,Akola,25,1
,Washim *,25,1
,Amravati,25,1
,Wardha,25,1
,Nagpur,25,1
,Bhandara,25,1
,Gondiya *,25,1
,Gadchiroli,25,1
,Chandrapur,25,1
,Yavatmal,25,1
,Nanded,25,1
,Hingoli *,25,1
,Parbhani,25,1
,Jalna,25,1
,Aurangabad,25,1
,Nashik,25,1
,Thane,25,1
,Mumbai (Suburban) *,25,1
,Mumbai,25,1
,Raigarh,25,1
,Pune,25,1
,Ahmadnagar,25,1
,Bid,25,1
,Latur,25,1
,Osmanabad,25,1
,Solapur,25,1
,Satara,25,1
,Ratnagiri,25,1
,Sindhudurg,25,1
,Kolhapur,25,1
,Sangli,25,1
,Adilabad,26,1
,Nizamabad,26,1
,Karimnagar,26,1
,Medak,26,1
,Hyderabad,26,1
,Rangareddi,26,1
,Mahbubnagar,26,1
,Nalgonda,26,1
,Warangal,26,1
,Khammam,26,1
,Srikakulam,26,1
,Vizianagaram,26,1
,Visakhapatnam,26,1
,East Godavari,26,1
,West Godavari,26,1
,Krishna,26,1
,Guntur,26,1
,Prakasam,26,1
,Nellore,26,1
,Cuddapah,26,1
,Kurnool,26,1
,Anantapur,26,1
,Chittoor,26,1
,Belgaum,27,1
,Bagalkot *,27,1
,Bijapur,27,1
,Gulbarga,27,1
,Bidar,27,1
,Raichur,27,1
,Koppal *,27,1
,Gadag *,27,1
,Dharwad,27,1
,Uttara Kannada,27,1
,Haveri *,27,1
,Bellary,27,1
,Chitradurga,27,1
,Davangere*,27,1
,Shimoga,27,1
,Udupi *,27,1
,Chikmagalur,27,1
,Tumkur,27,1
,Kolar,27,1
,Bangalore,27,1
,Bangalore Rural,27,1
,Mandya,27,1
,Hassan,27,1
,Dakshina Kannada,27,1
,Kodagu,27,1
,Mysore,27,1
,Chamrajnagar*,27,1
,GOA,27,1
,North Goa ,27,1
,South Goa,27,1
,Lakshadweep,28,1
,Kasaragod,29,1
,Kannur,29,1
,Wayanad,29,1
,Kozhikode,29,1
,Malappuram,29,1
,Palakkad,29,1
,Thrissur,29,1
,Ernakulam,29,1
,Idukki,29,1
,Kottayam,29,1
,Alappuzha,29,1
,Pathanamthitta,29,1
,Kollam,29,1
,Thiruvananthapuram,29,1
,Thiruvallur,30,1
,Chennai,30,1
,Kancheepuram,30,1
,Vellore,30,1
,Dharmapuri,30,1
,Tiruvannamalai,30,1
,Viluppuram,30,1
,Salem,30,1
,Namakkal   *,30,1
,Erode,30,1
,The Nilgiris,30,1
,Coimbatore,30,1
,Dindigul,30,1
,Karur  *,30,1
,Tiruchirappalli,30,1
,Perambalur  *,30,1
,Ariyalur  *,30,1
,Cuddalore,30,1
,Nagapattinam  *,30,1
,Thiruvarur,30,1
,Thanjavur,30,1
,Pudukkottai,30,1
,Sivaganga,30,1
,Madurai,30,1
,Theni  *,30,1
,Virudhunagar,30,1
,Ramanathapuram,30,1
,Thoothukkudi,30,1
,Tirunelveli ,30,1
,Kanniyakumari,30,1
,PONDICHERRY,30,1
,Yanam,30,1
,Pondicherry,30,1
,Mahe,30,1
,Karaikal,30,1
,Andamans,31,1
,Nicobars,31,1
